[21:42:39] [main/INFO]: ModLauncher running: args [--username, Vegely, --version, forge-47.2.6, --gameDir, C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern, --assetsDir, C:\Users\bogurad\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 1c3ad3930320474bbfa2aa740b70c321, --accessToken, ????????, --clientId, NGI5ZWI1OTEtYzRlZC00N2E1LTk1ZDYtNDRlNzE5YzVlMThl, --xuid, 2535424970138450, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\bogurad\curseforge\minecraft\Install\quickPlay\java\1733604157932.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[21:42:39] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[21:42:41] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[21:42:41] [main/INFO]: Trying GL version 4.6
[21:42:41] [main/INFO]: Requested GL version 4.6 got version 4.6
[21:42:41] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/bogurad/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[21:42:41] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 4070/PCIe/SSE2 GL version 4.6.0 NVIDIA 560.94, NVIDIA Corporation
[21:42:41] [main/INFO]: Found mod file AdditionalPlacements-1.20-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file AE2NetworkAnalyzer-1.20-1.0.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file AmbientSounds_FORGE_v6.1.1_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.13.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file astikorcarts-1.20.1-1.1.8.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
[21:42:41] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\bogurad\curseforge\minecraft\Instances\TerraFirmaGreg Modern\mods}
